lat,lon,sst,chlorophyll,u,v,current_speed,presence_prob,presence,sst2,chlorophyll2,sst_chl,sst_u,chl_v,current_dir,sst_z,chlorophyll_z,u_z,v_z
45.0,-66.5,9.248357076505616,5.024580668990112,0.0509378737886471,-0.0002119099892924,0.050938314577061765,0.1108321692285161,0,85.53210861455152,25.24641089918912,46.46911618652802,0.47109164551538435,-0.0010647588357644946,-0.004160141581040513,-1.3268007650326328,2.6357755283048716,2.1277017334514188,0.23245719682482946
45.25,-66.5,9.130867849414408,4.549750021440395,0.0039870062861859,0.0049937022060586,0.006390092397522936,0.0770330934240718,1,83.37274768346968,20.700225257596873,41.54316619364261,0.036404827513947975,0.02272009671908206,0.8970275436173497,-1.4159526833592473,2.2687693861508658,-1.1198233030910536,0.49074305141848257
45.5,-66.5,9.723844269050346,5.1277407885261805,0.0203632918500913,0.0044400454183854,0.020841728774008167,0.3061024880575868,0,94.55314736874325,26.293725594315095,49.861352879686,0.19800947875550992,0.022767401994763608,0.21468158183179073,-0.9659966606512974,2.7155100561632795,0.012901185366246863,0.46327236954873824
45.75,-66.5,10.361514928204013,5.394605993556281,0.0411833083312314,-0.0034808946416782,0.041330152583939704,0.520036618964318,0,107.36099160739461,29.10177382571335,55.896290534012245,0.4267214640668828,-0.018778055096935163,-0.08432156140593582,-0.48212623328000465,2.9217755318200083,1.4529922503542372,0.07026061688192584
46.0,-66.5,9.682923312638334,4.596084988338609,0.0188053791313142,0.0098536483671944,0.021230559823442727,0.2808560328522026,0,93.75900387843492,21.12399722003151,44.503538480451,0.18209104399360468,0.04528820534082942,0.48264730029097963,-0.997047862997352,2.30458261247882,-0.0948574318459138,0.7318780611737503
46.25,-66.5,9.88293152152541,4.5712858000502745,0.026785576943746,0.0046449790536131,0.027185344629374147,0.3737476010053306,0,97.67233545916056,20.89665386574128,45.17770452721836,0.2647200226995916,0.021233526789312524,0.1717058379255423,-0.8452797737451304,2.285414821879753,0.457121553229819,0.4734405221354871
46.5,-66.5,10.989606407753694,5.140951899605817,0.0040640970777968,-0.0297532484465459,0.03002953010254477,0.8682121917896963,1,120.77144899734105,26.429386434060657,56.49703793786161,0.04466282728788878,-0.15296001912071397,-1.435043060103884,-0.005524576491631008,2.725721189197605,-1.1144910421731877,-1.233289686142428
46.75,-66.5,10.783717364576455,5.17880820018972,0.0264246064581147,0.0123831212877854,0.02918221237833487,0.7855705294609273,1,116.28856019906777,26.82005437435229,55.846803916196826,0.28495548751447064,0.06412981006912692,0.4382306624103326,-0.16175509750299463,2.7549810840784765,0.43215373576661464,0.8573824303908464
47.0,-66.5,10.365262807032524,4.548078548324526,0.0171928360249317,0.0127458167453348,0.021402089970043725,0.5154123910280153,0,107.43867305885176,20.685018481729724,47.14202942041068,0.17820826379663343,0.05796897572033272,0.6379386224764392,-0.4792823079645536,2.267477471016207,-0.2063947556281981,0.8753782208367896
47.25,-66.5,11.071280021792983,4.578880511341749,0.0347859499351979,-0.0202657220835716,0.040258686074717547,0.7459520009643723,1,122.57324132095243,20.96614673714528,50.69406832739515,0.38512499255664745,-0.09279431989673412,-0.52751483946269,0.05645012151721273,2.291284926739751,1.0104960268762597,-0.7625489235421897
