lat,lon,sst,chlorophyll,u,v,current_speed,presence_prob,presence
45.0,-66.5,9.248357076505616,5.024580668990112,0.05093787378864718,-0.00021190998929245864,0.05093831457706184,0.11083216922851616,0
45.25,-66.5,9.130867849414408,4.549750021440395,0.003987006286185908,0.00499370220605868,0.006390092397523002,0.07703309342407186,1
45.5,-66.5,9.723844269050346,5.1277407885261805,0.02036329185009137,0.0044400454183854896,0.020841728774008254,0.30610248805758683,0
45.75,-66.5,10.361514928204013,5.394605993556281,0.04118330833123144,-0.003480894641678252,0.041330152583939746,0.520036618964318,0
46.0,-66.5,9.682923312638334,4.596084988338609,0.018805379131314272,0.009853648367194443,0.021230559823442813,0.2808560328522026,0
46.25,-66.5,9.88293152152541,4.5712858000502745,0.026785576943746014,0.004644979053613144,0.027185344629374168,0.37374760100533067,0
46.5,-66.5,10.989606407753694,5.140951899605817,0.0040640970777968055,-0.029753248446545956,0.030029530102544826,0.8682121917896963,1
46.75,-66.5,10.783717364576455,5.17880820018972,0.02642460645811473,0.012383121287785464,0.02918221237833493,0.7855705294609273,1
47.0,-66.5,10.365262807032524,4.548078548324526,0.017192836024931768,0.012745816745334843,0.021402089970043805,0.5154123910280153,0
47.25,-66.5,11.071280021792983,4.578880511341749,0.03478594993519794,-0.020265722083571632,0.040258686074717595,0.7459520009643723,1
47.5,-66.5,10.768291153593768,4.620401173812354,0.03781079077347126,-0.00424124329104796,0.0380479177297402,0.6808611137322699,1
47.75,-66.5,10.96713512321487,4.301601403160223,0.0588434546302792,0.008666579856221388,0.05947824610082235,0.2625584860607606,0
48.0,-66.5,11.520981135783018,4.429340972525247,0.028694497598203635,-0.009186276391587232,0.030129086716260536,0.9655382753728982,1
48.25,-66.5,10.6433598776711,4.403694326444886,0.024886944748732497,0.016459560955320238,0.029837512727577786,0.6713356065544012,1
48.5,-66.5,10.937541083743485,4.474597286939268,0.02291576452366004,0.042277449892387214,0.04808861646072953,0.5252003085209871,1
48.75,-66.5,11.718856235379514,4.694531090254472,0.014702505607839676,-0.02071972065269965,0.025406111372551003,1.0,1
49.0,-66.5,11.693584439832787,4.775200976231462,0.025077257651925366,-0.032620892063075495,0.041145977328675414,0.8825679223111094,1
49.25,-66.5,12.557123666297636,5.170086704314729,0.015568978847914559,0.0010763719120975147,0.015606142343960707,0.7862428733743584,0
49.5,-66.5,12.145987962239394,4.4054303442488685,0.022526914644044216,0.00943125010252287,0.024421514323980636,0.9701766097834555,1
49.75,-66.5,12.093848149332356,5.000233276013481,0.039763963034119394,-0.00961732747689538,0.040910460080236945,0.9252838224119248,1
50.0,-66.5,13.732824384460777,4.640739903202854,0.004901861520805384,0.024065213266420693,0.024559371651723155,0.5110639989319224,0
45.0,-66.25,8.887111849756732,4.350135130958875,0.03709817841693568,-0.03177211599446498,0.048844059993212376,0.06970030032088617,0
45.25,-66.25,9.233764102343962,4.5674200915045855,0.03975672601009798,0.008858372460632223,0.04073165876432346,0.15824945219738326,0
45.5,-66.25,8.687625906893272,4.028157637385915,0.01822897209513382,-0.01711721641517787,0.02500588973520443,0.07682003135628213,0
45.75,-66.25,9.327808637737409,4.479697167709819,-0.011827823485128917,0.029387558124145934,0.031678478197278086,0.2037426278358796,0
46.0,-66.25,9.855461294854933,4.414909906318521,0.010882670193583514,0.03485030706336237,0.036509949506305206,0.34254292034162437,1
46.25,-66.25,9.42450321128885,4.512709623057049,0.039454918198416636,-0.020333131755666957,0.04438611063201033,0.17657356761151646,0
46.5,-66.25,10.387849009172836,4.4517248370269495,0.019656979065516767,-0.015991142718171602,0.025339957999473816,0.5539177640579781,0
46.75,-66.25,10.099680655040597,5.101564285827872,0.005010466515576339,0.012191757739596038,0.013181188545981413,0.3381115010626488,0
47.0,-66.25,10.45415312510336,4.173652248579209,0.01242837618157674,-0.012742612995790293,0.01779996405814539,0.4789871335213846,1
